Mode,Matrix_Size,Workers,Time_Sec,Throughput,Peak_Memory_MB,Context_Switches
sync,0,1,0.08915591239929199,1121.6306054066486,80.7109375,171
thread,0,1,0.10257411003112793,974.9048757981252,91.1875,344
process,0,1,0.08802938461303711,1135.9843129607661,156.68359375,289
async,0,1,0.07060837745666504,1416.2625399708934,91.48828125,393
sync,0,2,0.10895633697509766,917.7988428782746,444.859375,184
thread,0,2,0.05946230888366699,1681.7375893633998,444.859375,276
process,0,2,0.09989428520202637,1001.0582667242659,454.86328125,190
async,0,2,0.08691549301147461,1150.5428610615827,455.015625,398
sync,0,4,0.1057593822479248,945.5425880379722,502.9921875,177
thread,0,4,0.033390045166015625,2994.904604135725,502.9921875,192
process,0,4,0.10760116577148438,929.3579607898748,512.921875,147
async,0,4,0.11579513549804688,863.5941360566628,512.921875,452
sync,0,8,0.10653471946716309,938.6611285048978,398.9765625,178
thread,0,8,0.02476787567138672,4037.487967348196,398.9765625,113
process,0,8,0.10918140411376953,915.906887365157,408.8515625,167
async,0,8,0.08418655395507812,1187.8381440029,408.85546875,446
sync,100,1,0.09148812294006348,1093.0380555027116,506.64453125,185
thread,100,1,0.09070372581481934,1102.4905438191142,516.71875,347
process,100,1,0.11585092544555664,863.1782578810243,1008.87890625,272
async,100,1,0.09652376174926758,1036.014326293689,516.90234375,697
sync,100,2,0.08486199378967285,1178.3838151133486,464.9296875,175
thread,100,2,0.04767918586730957,2097.351248368595,464.9296875,273
process,100,2,0.09373140335083008,1066.8782971882647,475.03515625,216
async,100,2,0.10950374603271484,913.2107678775159,475.03515625,874
sync,100,4,0.0865635871887207,1155.2201479588184,453.1484375,187
thread,100,4,0.028458833694458008,3513.847442717715,453.1484375,184
process,100,4,0.07953643798828125,1257.2853717026378,462.25390625,170
async,100,4,0.10696029663085938,934.9263525803345,462.25390625,929
sync,100,8,0.08875489234924316,1126.698454058265,427.77734375,197
thread,100,8,0.026751279830932617,3738.1389089418285,427.77734375,120
process,100,8,0.08944177627563477,1118.0457741785865,449.984375,169
async,100,8,0.09776949882507324,1022.8138755105773,449.98828125,758
sync,300,1,0.3257029056549072,307.0282710524948,473.125,178
thread,300,1,0.32373619079589844,308.893484395897,473.14453125,269
process,300,1,0.41082310676574707,243.41376702800795,928.4921875,251
async,300,1,0.2766001224517822,361.5327394420525,797.9921875,698
sync,300,2,0.32356715202331543,309.054857313805,427.2578125,191
thread,300,2,0.26819610595703125,372.86149119563055,439.3671875,220
process,300,2,0.2714078426361084,368.4491908145616,1280.23046875,204
async,300,2,0.2705352306365967,369.63762451452226,769.38671875,549
sync,300,4,0.31881046295166016,313.6659916182317,459.56640625,160
thread,300,4,0.2063896656036377,484.52038384540833,471.57421875,98
process,300,4,0.2380082607269287,420.15348414621565,2258.87890625,115
async,300,4,0.2673523426055908,374.0382411667292,814.21875,598
sync,300,8,0.33468198776245117,298.79110217003216,476.22265625,169
thread,300,8,0.2397606372833252,417.0826418092557,510.69140625,95
process,300,8,0.44864559173583984,222.89308496957096,4227.18359375,94
async,300,8,0.25900721549987793,386.0896300012427,806.4296875,774
sync,500,1,0.856076717376709,116.8119608560688,478.2109375,122
thread,500,1,0.940781831741333,106.29456971432553,493.9296875,158
process,500,1,0.876640796661377,114.07180726797425,965.1484375,258
async,500,1,0.547971248626709,182.49132641651127,891.9140625,584
sync,500,2,0.8199167251586914,121.96360548767368,400.875,139
thread,500,2,1.0144062042236328,98.57983871119376,426.37890625,123
process,500,2,0.6122312545776367,163.3369731654545,1175.109375,249
async,500,2,0.4954531192779541,201.83544337299654,872.01171875,605
sync,500,4,0.8150725364685059,122.6884670084378,470.05078125,149
thread,500,4,0.608492374420166,164.34059686498168,489.58203125,73
process,500,4,0.40187549591064453,248.83328547664078,2191.359375,169
async,500,4,0.4942498207092285,202.32683110841404,898.921875,634
sync,500,8,0.8252317905426025,121.17807523416963,438.55078125,143
thread,500,8,0.6154029369354248,162.49516210952558,501.67578125,61
process,500,8,0.8564901351928711,116.75557708260261,4137.921875,123
async,500,8,0.501629114151001,199.35047065449612,899.42578125,657
